Property Flooding / Grading,Inspections,Phone,2019-03-20 13:15,4##,ASKIN,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-05-06 15:58,7##,CHARLES,WARD 10
Property Flooding / Grading,Inspections,Phone,2019-03-14 15:53,11##,BRIDALFALLS,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-04-11 10:31,2##,THOMPSON,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-04-03 13:02,33##,WOODLAWN,WARD 9
Property Flooding / Grading,Inspections,Phone,2019-05-03 11:13,16##,ONTARIO,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-05-06 16:40,11##,ESDRAS,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-04-26 8:53,16##,AUBIN,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-01 15:16,13##,ARTHUR,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-01 11:29,998##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-15 11:32,998##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-21 8:46,24##,VENETIAN,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-07-11 10:47,18##,BALFOUR,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-02-11 9:39,18##,HALL,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-01-14 9:31,95##,CHESTNUT,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-04-23 10:56,12##,WESTCOTT,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-01 9:09,6##,EUGENIE,WARD 10
Property Flooding / Grading,Inspections,Phone,2019-03-19 9:26,8##,ELLROSE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-01 13:05,11##,PARTINGTON,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-04-30 11:26,9##,CURRY,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-05-03 14:20,27##,NORMAN,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-05-06 9:32,18##,PILLETTE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-01-22 11:53,11##,LILLIAN,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-07-31 12:24,12##,PARENT,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-07-30 15:39,27##,ONTARIO,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-06-12 10:01,31##,CLEMENCEAU,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-04-05 15:02,19##,BERNARD,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-03-20 15:17,22##,LILLIAN,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-06-24 10:12,10##,GLIDDEN,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-21 8:26,18##,BALFOUR,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-05-27 9:03,99##,HOLLY,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-06-11 9:50,37##,ASKIN,WARD 1
Property Flooding / Grading,Inspections,Phone,2019-06-03 8:09,29##,GLENWOOD,WARD 10
Property Flooding / Grading,Inspections,Phone,2019-06-17 15:33,63##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-06-20 11:12,63##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-07-08 15:13,8##,CHURCH,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-05-03 12:17,19##,BUCKINGHAM,WARD 8
Property Flooding / Grading,Inspections,E-Mail,2019-06-03 14:33,35##,DANDURAND,WARD 1
Property Flooding / Grading,Inspections,Phone,2019-05-22 13:21,9##,PARENT,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-06-06 9:22,10##,LAPORTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-07-02 13:29,88##,RIVERSIDE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-07-08 11:14,25##,GEORGE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-06-05 16:38,14##,HALL,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-06-10 11:59,34##,SANDWICH,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-06-17 15:46,8##,GLIDDEN,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-03-25 16:31,15##,RIVERSIDE,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-06-07 11:42,12##,PARKVIEW,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-06-12 10:14,95##,CHESTNUT,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-05-21 15:22,26##,ALEXIS,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-03-19 10:32,14##,ASPENSHORE,WARD 7
Property Flooding / Grading,Inspections,E-Mail,2019-06-12 13:30,31##,SEVILLE,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-06-14 9:34,50##,RIVERSIDE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-06-14 14:43,87##,CEDARVIEW,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-06-21 15:04,12##,ASKIN,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-07-15 8:08,95##,CHESTNUT,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-01-14 8:53,42##,ROSELAND,WARD 1
Property Flooding / Grading,Inspections,E-Mail,2019-05-01 16:12,8##,THOMPSON,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-07 10:03,31##,ASKIN,WARD 1
Property Flooding / Grading,Inspections,Phone,2019-05-21 16:53,8##,EASTLAWN,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-04-17 13:37,19##,AUBIN,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-29 14:23,21##,SOUTH PACIFIC,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-05-23 10:37,19##,FORD,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-10-18 15:11,28##,ST PATRICK'S,WARD 10
Property Flooding / Grading,Inspections,Phone,2019-05-16 8:25,9##,VILLAIRE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-04-23 14:51,10##,VIRGINIA,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-01 10:07,10##,VIRGINIA,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-06-20 11:42,8##,PELISSIER,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-06-24 8:36,29##,BRIMLEY,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-05-01 12:03,34##,CROSS,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-04-26 10:28,78##,ST ROSE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-01 16:23,19##,JEFFERSON,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-10-11 13:30,8##,EASTLAWN,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-06-27 9:00,24##,PRINCESS,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-05-22 16:00,99##,RIVERSIDE,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-08-08 11:17,2##,BROCK,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-05-01 9:20,17##,GEORGE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-21 12:48,24##,LLOYD GEORGE,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-05-29 14:23,21##,JANETTE,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-05-31 9:08,54##,TECUMSEH,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-06-14 14:03,95##,ASHLAND,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-05-06 9:06,18##,ELLROSE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-07-11 10:44,18##,BALFOUR,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-05-23 10:11,83##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-27 13:04,11##,HOMEDALE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-06-19 8:26,10##,HARRISON,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-06-26 16:53,32##,LAUZON,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-04-29 14:41,9##,BELLE ISLE VIEW,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-05-01 10:32,65##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,2019-09-10 14:13,7##,KENNEDY,WARD 1
Property Flooding / Grading,Inspections,Phone,2019-06-17 12:46,10##,DOUGALL,WARD 3
Property Flooding / Grading,Inspections,Phone,2019-07-16 10:35,35##,KING,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-05-02 8:13,12##,DOT,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-04-23 13:41,37##,WILDWOOD,WARD 7
Property Flooding / Grading,Inspections,Phone,2019-04-29 14:10,12##,LABADIE,WARD 5
Property Flooding / Grading,Inspections,Phone,2019-05-03 16:27,25##,CLEMENCEAU,WARD 8
Property Flooding / Grading,Inspections,Phone,2019-05-06 14:06,8##,MARENTETTE,WARD 4
Property Flooding / Grading,Inspections,Phone,2019-05-27 9:14,28##,SKYLINE,WARD 10
Property Flooding / Grading,Inspections,Phone,2019-04-15 10:36,10##,MERRITT,WARD 2
Property Flooding / Grading,Inspections,Phone,2019-05-06 13:20,4##,CHRISTOPHER,WARD 6
